TIME,AMPLITUDE
0.000000000000000e+00,2.161490e-28
2.500000029215244e-08,1.287421e-09
5.000000058430487e-08,-7.612528e-10
8.465301736181972e-08,-2.622052e-08
1.204676405511951e-07,-1.075847e-07
1.568501795118206e-07,-2.894489e-07
1.958241378144835e-07,-6.564678e-07
2.460770496506172e-07,-1.490259e-06
3.127950034376136e-07,-3.402796e-06
4.022646648902322e-07,-7.824042e-06
5.215542930434351e-07,-1.798477e-05
6.820081578079066e-07,-4.043310e-05
8.495497736666650e-07,-7.724386e-05
1.040978942565902e-06,-1.404300e-04
1.260126418954354e-06,-2.458851e-04
1.536165310491480e-06,-4.363111e-04
1.869764577469160e-06,-7.637178e-04
2.289796958084492e-06,-1.346365e-03
2.806503293957986e-06,-2.352429e-03
3.458856361998245e-06,-4.121101e-03
4.274673671057058e-06,-7.173328e-03
5.314183903050920e-06,-1.248510e-02
6.637983481919644e-06,-2.161528e-02
8.351297493430254e-06,-3.734554e-02
1.058371601915980e-05,-6.415600e-02
1.354629747233683e-05,-1.068437e-01
1.755565645935279e-05,-1.602755e-01
2.058095817946785e-05,-1.819046e-01
2.386683449533498e-05,-1.871959e-01
2.700606074976889e-05,-1.885499e-01
2.746744953589272e-05,-1.886692e-01
2.839022710814037e-05,-1.886995e-01
2.862092150120228e-05,-1.887349e-01
2.908231028732611e-05,-1.888309e-01
2.919765748385707e-05,-1.888512e-01
2.942835187691898e-05,-1.888817e-01
2.970697135334304e-05,-1.889008e-01
2.989868104620340e-05,-1.888896e-01
3.011745649772361e-05,-1.888422e-01
3.028463584350755e-05,-1.887830e-01
3.048443048593521e-05,-1.886916e-01
3.071911735802768e-05,-1.885690e-01
3.106170322749243e-05,-1.883758e-01
3.153020260578532e-05,-1.881022e-01
3.222723565408857e-05,-1.876910e-01
3.334308438354163e-05,-1.870365e-01
3.534020025078715e-05,-1.858864e-01
3.933443198527820e-05,-1.836636e-01
4.597385967231713e-05,-1.801272e-01
5.060391494683705e-05,-1.777746e-01
5.350043761349488e-05,-1.763687e-01
5.665677178924091e-05,-1.748878e-01
5.866214330791629e-05,-1.739741e-01
6.150369107371741e-05,-1.727265e-01
6.718678660531966e-05,-1.703465e-01
7.393543134285240e-05,-1.677103e-01
8.370105634285240e-05,-1.642310e-01
9.346668134285239e-05,-1.611080e-01
1.032323063428524e-04,-1.583476e-01
1.129979313428524e-04,-1.559244e-01
1.227635563428524e-04,-1.538148e-01
1.325291813428524e-04,-1.519966e-01
1.422948063428524e-04,-1.504490e-01
1.520604313428524e-04,-1.491526e-01
1.618260563428524e-04,-1.480892e-01
1.715916813428524e-04,-1.472417e-01
1.813573063428524e-04,-1.465940e-01
