FREQUENCY,MAGNITUDE,PHASE
1.00000000000000e+00,-1.90804831153802e-01,2.10376842992105e+00
1.02329299228075e+00,-1.90539477738652e-01,2.05556576939201e+00
1.04712854805090e+00,-1.90286052403582e-01,2.00844921515640e+00
1.07151930523761e+00,-1.90044019643026e-01,1.96239403744720e+00
1.09647819614318e+00,-1.89812867937096e-01,1.91737605247004e+00
1.12201845430196e+00,-1.89592108682298e-01,1.87337161069651e+00
1.14815362149688e+00,-1.89381275169527e-01,1.83035758536666e+00
1.17489755493953e+00,-1.89179921607243e-01,1.78831136119966e+00
1.20226443461741e+00,-1.88987622187846e-01,1.74721082331096e+00
1.23026877081238e+00,-1.88803970195391e-01,1.70703434633467e+00
1.25892541179417e+00,-1.88628577152856e-01,1.66776078374900e+00
1.28824955169313e+00,-1.88461072007216e-01,1.62936945740324e+00
1.31825673855641e+00,-1.88301100350671e-01,1.59184014724374e+00
1.34896288259165e+00,-1.88148323676460e-01,1.55515308123719e+00
1.38038426460288e+00,-1.88002418667747e-01,1.51928892548843e+00
1.41253754462275e+00,-1.87863076518108e-01,1.48422877455076e+00
1.44543977074593e+00,-1.87730002282247e-01,1.44995414192601e+00
1.47910838816821e+00,-1.87602914255620e-01,1.41644695075193e+00
1.51356124843621e+00,-1.87481543381671e-01,1.38368952467428e+00
1.54881661891248e+00,-1.87365632685476e-01,1.35166457890080e+00
1.58489319246111e+00,-1.87254936732666e-01,1.32035521143456e+00
1.62181009735893e+00,-1.87149221112411e-01,1.28974489448371e+00
1.65958690743756e+00,-1.87048261943544e-01,1.25981746604497e+00
1.69824365246174e+00,-1.86951845402672e-01,1.23055712165794e+00
1.73780082874937e+00,-1.86859767273390e-01,1.20194840632751e+00
1.77827941003892e+00,-1.86771832515615e-01,1.17397620661140e+00
1.81970085860998e+00,-1.86687854854176e-01,1.14662574287003e+00
1.86208713666287e+00,-1.86607656385769e-01,1.11988256167585e+00
1.90546071796325e+00,-1.86531067203520e-01,1.09373252837931e+00
1.94984459975804e+00,-1.86457925038323e-01,1.06816181982849e+00
1.99526231496888e+00,-1.86388074916223e-01,1.04315691723975e+00
2.04173794466953e+00,-1.86321368831149e-01,1.01870459921634e+00
2.08929613085404e+00,-1.86257665432283e-01,9.94791934912308e-01
2.13796208950223e+00,-1.86196829725441e-01,9.71406277338918e-01
2.18776162394955e+00,-1.86138732787831e-01,9.48535256810648e-01
2.23872113856834e+00,-1.86083251495590e-01,9.26166774528185e-01
2.29086765276777e+00,-1.86030268263524e-01,9.04288996295590e-01
2.34422881531992e+00,-1.85979670796545e-01,8.82890346368961e-01
2.39883291901949e+00,-1.85931351852208e-01,8.61959501433905e-01
2.45470891568503e+00,-1.85885209013961e-01,8.41485384709186e-01
2.51188643150958e+00,-1.85841144474515e-01,8.21457160173929e-01
2.57039578276886e+00,-1.85799064828960e-01,8.01864226915796e-01
2.63026799189538e+00,-1.85758880877169e-01,7.82696213597571e-01
2.69153480392691e+00,-1.85720507435069e-01,7.63942973039665e-01
2.75422870333816e+00,-1.85683863154396e-01,7.45594576916016e-01
2.81838293126445e+00,-1.85648870350543e-01,7.27641310560975e-01
2.88403150312660e+00,-1.85615454838127e-01,7.10073667884733e-01
2.95120922666638e+00,-1.85583545773985e-01,6.92882346394917e-01
