TIME,AMPLITUDE
0.000000000000000e+00,0.000000e+00
1.250000014607622e-08,2.679076e-05
5.000000058430487e-08,2.215016e-04
1.280000014958205e-05,8.026049e-02
3.233125014958205e-05,2.016529e-01
5.186250014958205e-05,3.200339e-01
7.139375014958204e-05,4.336013e-01
9.092500014958204e-05,5.406469e-01
1.104562501495820e-04,6.395606e-01
1.299875001495820e-04,7.288547e-01
1.495187501495820e-04,8.071860e-01
1.690500001495821e-04,8.733765e-01
1.885812501495821e-04,9.264306e-01
2.081125001495821e-04,9.655502e-01
2.276437501495821e-04,9.901470e-01
2.471750001495821e-04,9.998510e-01
2.667062501495821e-04,9.945163e-01
2.862375001495821e-04,9.742231e-01
3.057687501495821e-04,9.392766e-01
3.253000001495822e-04,8.902025e-01
3.448312501495822e-04,8.277389e-01
3.643625001495822e-04,7.528252e-01
3.838937501495822e-04,6.665883e-01
4.034250001495822e-04,5.703253e-01
4.229562501495822e-04,4.654840e-01
4.424875001495823e-04,3.536413e-01
4.620187501495823e-04,2.364795e-01
4.815500001495823e-04,1.157608e-01
5.010812501495823e-04,-6.699171e-03
5.206125001495823e-04,-1.290584e-01
5.401437501495823e-04,-2.494765e-01
5.596750001495823e-04,-3.661423e-01
5.792062501495823e-04,-4.773010e-01
5.987375001495824e-04,-5.812806e-01
6.182687501495824e-04,-6.765174e-01
6.378000001495824e-04,-7.615787e-01
6.573312501495824e-04,-8.351853e-01
6.768625001495824e-04,-8.962299e-01
6.963937501495824e-04,-9.437944e-01
7.159250001495825e-04,-9.771634e-01
7.354562501495825e-04,-9.958351e-01
7.549875001495825e-04,-9.995285e-01
7.745187501495825e-04,-9.881881e-01
7.940500001495825e-04,-9.619845e-01
8.135812501495825e-04,-9.213117e-01
8.331125001495826e-04,-8.667817e-01
8.526437501495826e-04,-7.992144e-01
8.721750001495826e-04,-7.196263e-01
8.917062501495826e-04,-6.292144e-01
9.112375001495826e-04,-5.293386e-01
9.307687501495826e-04,-4.215010e-01
9.503000001495827e-04,-3.073238e-01
9.698312501495827e-04,-1.885241e-01
9.893625001495827e-04,-6.688897e-02
1.008893750149583e-03,5.575224e-02
1.028425000149583e-03,1.775548e-01
1.047956250149583e-03,2.966868e-01
1.067487500149583e-03,4.113563e-01
1.087018750149583e-03,5.198385e-01
1.106550000149583e-03,6.205018e-01
1.126081250149583e-03,7.118322e-01
1.145612500149583e-03,7.924559e-01
1.165143750149583e-03,8.611603e-01
1.184675000149583e-03,9.169120e-01
1.204206250149583e-03,9.588724e-01
1.223737500149583e-03,9.864104e-01
1.243268750149583e-03,9.991120e-01
1.262800000149583e-03,9.967858e-01
1.282331250149583e-03,9.794670e-01
1.301862500149583e-03,9.474161e-01
1.321393750149583e-03,9.011151e-01
1.340925000149583e-03,8.412605e-01
1.360456250149583e-03,7.687525e-01
1.379987500149583e-03,6.846817e-01
1.399518750149583e-03,5.903125e-01
1.419050000149583e-03,4.870645e-01
1.438581250149583e-03,3.764906e-01
1.458112500149583e-03,2.602538e-01
1.477643750149583e-03,1.401025e-01
1.497175000149583e-03,1.784391e-02
1.516706250149583e-03,-1.046831e-01
