FREQUENCY,MAGNITUDE,PHASE
1.00000000000000e+00,-2.43906301138201e+00,-1.74144317911580e-01
1.02329299228075e+00,-2.43906512137109e+00,-1.78200627989359e-01
1.04712854805090e+00,-2.43906733079956e+00,-1.82351419365355e-01
1.07151930523761e+00,-2.43906964435461e+00,-1.86598892627125e-01
1.09647819614318e+00,-2.43907206694178e+00,-1.90945299608786e-01
1.12201845430196e+00,-2.43907460370055e+00,-1.95392944583734e-01
1.14815362149688e+00,-2.43907726001188e+00,-1.99944185485289e-01
1.17489755493953e+00,-2.43908004150852e+00,-2.04601435155659e-01
1.20226443461741e+00,-2.43908295409113e+00,-2.09367162623791e-01
1.23026877081238e+00,-2.43908600393775e+00,-2.14243894413097e-01
1.25892541179417e+00,-2.43908919751669e+00,-2.19234215879484e-01
1.28824955169313e+00,-2.43909254160130e+00,-2.24340772580447e-01
1.31825673855641e+00,-2.43909604328495e+00,-2.29566271675950e-01
1.34896288259165e+00,-2.43909970999371e+00,-2.34913483361948e-01
1.38038426460288e+00,-2.43910354950648e+00,-2.40385242336979e-01
1.41253754462275e+00,-2.43910756996590e+00,-2.45984449303114e-01
1.44543977074593e+00,-2.43911177989908e+00,-2.51714072501472e-01
1.47910838816821e+00,-2.43911618823537e+00,-2.57577149283486e-01
1.51356124843621e+00,-2.43912080432501e+00,-2.63576787718636e-01
1.54881661891248e+00,-2.43912563795823e+00,-2.69716168239489e-01
1.58489319246111e+00,-2.43913069938700e+00,-2.75998545324851e-01
1.62181009735893e+00,-2.43913599934760e+00,-2.82427249221954e-01
1.65958690743756e+00,-2.43914154907895e+00,-2.89005687708756e-01
1.69824365246174e+00,-2.43914736035352e+00,-2.95737347896702e-01
1.73780082874937e+00,-2.43915344549536e+00,-3.02625798075757e-01
1.77827941003892e+00,-2.43915981741105e+00,-3.09674689601773e-01
1.81970085860998e+00,-2.43916648961473e+00,-3.16887758827833e-01
1.86208713666287e+00,-2.43917347625788e+00,-3.24268829080208e-01
1.90546071796325e+00,-2.43918079215845e+00,-3.31821812680129e-01
1.94984459975804e+00,-2.43918845283209e+00,-3.39550713012343e-01
1.99526231496888e+00,-2.43919647452572e+00,-3.47459626641493e-01
2.04173794466953e+00,-2.43920487425297e+00,-3.55552745477442e-01
2.08929613085404e+00,-2.43921366982808e+00,-3.63834358990812e-01
2.13796208950223e+00,-2.43922287990425e+00,-3.72308856479615e-01
2.18776162394955e+00,-2.43923252401597e+00,-3.80980729388172e-01
2.23872113856834e+00,-2.43924262261446e+00,-3.89854573679994e-01
2.29086765276777e+00,-2.43925319711769e+00,-3.98935092264877e-01
2.34422881531992e+00,-2.43926426995168e+00,-4.08227097482516e-01
2.39883291901949e+00,-2.43927586459964e+00,-4.17735513643158e-01
2.45470891568503e+00,-2.43928800564882e+00,-4.27465379627074e-01
2.51188643150958e+00,-2.43930071884881e+00,-4.37421851543470e-01
2.57039578276886e+00,-2.43931403115874e+00,-4.47610205451379e-01
2.63026799189538e+00,-2.43932797081148e+00,-4.58035840142430e-01
2.69153480392691e+00,-2.43934256736599e+00,-4.68704279988459e-01
2.75422870333816e+00,-2.43935785177819e+00,-4.79621177853738e-01
2.81838293126445e+00,-2.43937385645803e+00,-4.90792318075115e-01
2.88403150312660e+00,-2.43939061534631e+00,-5.02223619509633e-01
2.95120922666638e+00,-2.43940816398009e+00,-5.13921138652990e-01
3.01995172040201e+00,-2.43942653957178e+00,-5.25891072828932e-01
3.09029543251359e+00,-2.43944578108714e+00,-5.38139763452028e-01
3.16227766016837e+00,-2.43946592932625e+00,-5.50673699365259e-01
3.23593656929628e+00,-2.43948702701215e+00,-5.63499520253741e-01
3.31131121482591e+00,-2.43950911888048e+00,-5.76624020136735e-01
3.38844156139202e+00,-2.43953225177447e+00,-5.90054150939371e-01
3.46736850452531e+00,-2.43955647474252e+00,-6.03797026146046e-01
3.54813389233575e+00,-2.43958183914468e+00,-6.17859924536854e-01
3.63078054770101e+00,-2.43960839875922e+00,-6.32250294009476e-01
3.71535229097172e+00,-2.43963620989812e+00,-6.46975755487805e-01
3.80189396320560e+00,-2.43966533152606e+00,-6.62044106919536e-01
3.89045144994280e+00,-2.43969582538321e+00,-6.77463327364710e-01
3.98107170553496e+00,-2.43972775611963e+00,-6.93241581176515e-01
4.07380277804112e+00,-2.43976119142799e+00,-7.09387222277430e-01
4.16869383470335e+00,-2.43979620218996e+00,-7.25908798531490e-01
4.26579518801592e+00,-2.43983286262531e+00,-7.42815056215665e-01
4.36515832240165e+00,-2.43987125044916e+00,-7.60114944591983e-01
4.46683592150962e+00,-2.43991144703541e+00,-7.77817620582738e-01
4.57088189614874e+00,-2.43995353758922e+00,-7.95932453550691e-01
4.67735141287197e+00,-2.43999761132823e+00,-8.14469030186489e-01
4.78630092322637e+00,-2.44004376167118e+00,-8.33437159505673e-01
4.89778819368445e+00,-2.44009208643436e+00,-8.52846877957544e-01
5.01187233627271e+00,-2.44014268803963e+00,-8.72708454647801e-01
5.12861383991364e+00,-2.44019567372854e+00,-8.93032396677865e-01
5.24807460249771e+00,-2.44025115579399e+00,-9.13829454602055e-01
5.37031796370252e+00,-2.44030925181318e+00,-9.35110628006744e-01
5.49540873857623e+00,-2.44037008489570e+00,-9.56887171212495e-01
5.62341325190348e+00,-2.44043378394859e+00,-9.79170599101342e-01
5.75439937337156e+00,-2.44050048394338e+00,-1.00197269307343e+00
5.88843655355588e+00,-2.44057032620329e+00,-1.02530550713352e+00
6.02559586074356e+00,-2.44064345870251e+00,-1.04918137411066e+00
6.16595001861481e+00,-2.44072003637768e+00,-1.07361291201378e+00
6.30957344480192e+00,-2.44080022145502e+00,-1.09861303052521e+00
6.45654229034654e+00,-2.44088418379189e+00,-1.12419493763491e+00
6.60693448007594e+00,-2.44097210123721e+00,-1.15037214641756e+00
6.76082975391980e+00,-2.44106416000457e+00,-1.17715848195568e+00
6.91830970918935e+00,-2.44116055506639e+00,-1.20456808841062e+00
7.07945784384136e+00,-2.44126149056360e+00,-1.23261543624455e+00
7.24435960074988e+00,-2.44136718023699e+00,-1.26131532959532e+00
7.41310241300916e+00,-2.44147784787711e+00,-1.29068291380729e+00
7.58577575029182e+00,-2.44159372779573e+00,-1.32073368312028e+00
7.76247116628690e+00,-2.44171506531952e+00,-1.35148348851908e+00
7.94328234724279e+00,-2.44184211730643e+00,-1.38294854574618e+00
8.12830516164097e+00,-2.44197515268350e+00,-1.41514544348040e+00
8.31763771102669e+00,-2.44211445301842e+00,-1.44809115168192e+00
8.51138038202374e+00,-2.44226031310494e+00,-1.48180303010956e+00
8.70963589956078e+00,-2.44241304158736e+00,-1.51629883700849e+00
8.91250938133743e+00,-2.44257296160541e+00,-1.55159673797396e+00
9.12010839355907e+00,-2.44274041147549e+00,-1.58771531499055e+00
9.33254300796988e+00,-2.44291574539854e+00,-1.62467357565101e+00
9.54992586021433e+00,-2.44309933420565e+00,-1.66249096255465e+00
9.77237220955808e+00,-2.44329156613129e+00,-1.70118736288954e+00
9.99999999999997e+00,-2.44349284763194e+00,-1.74078311819672e+00
1.02329299228075e+01,-2.44370360423295e+00,-1.78129903432192e+00
1.04712854805090e+01,-2.44392428142238e+00,-1.82275639155247e+00
1.07151930523760e+01,-2.44415534557952e+00,-1.86517695494374e+00
1.09647819614318e+01,-2.44439728495329e+00,-1.90858298483303e+00
1.12201845430196e+01,-2.44465061067989e+00,-1.95299724754454e+00
1.14815362149688e+01,-2.44491585784905e+00,-1.99844302628431e+00
1.17489755493953e+01,-2.44519358662270e+00,-2.04494413222498e+00
1.20226443461741e+01,-2.44548438339969e+00,-2.09252491578238e+00
1.23026877081238e+01,-2.44578886203763e+00,-2.14121027808150e+00
1.25892541179416e+01,-2.44610766513096e+00,-2.19102568261206e+00
1.28824955169313e+01,-2.44644146534536e+00,-2.24199716707311e+00
1.31825673855640e+01,-2.44679096681473e+00,-2.29415135540443e+00
1.34896288259165e+01,-2.44715690660207e+00,-2.34751547000319e+00
1.38038426460288e+01,-2.44754005622813e+00,-2.40211734412308e+00
1.41253754462275e+01,-2.44794122326468e+00,-2.45798543445503e+00
1.44543977074592e+01,-2.44836125300816e+00,-2.51514883388224e+00
1.47910838816820e+01,-2.44880103022290e+00,-2.57363728440963e+00
1.51356124843620e+01,-2.44926148096736e+00,-2.63348119026006e+00
1.54881661891248e+01,-2.44974357449897e+00,-2.69471163113428e+00
1.58489319246111e+01,-2.45024832526955e+00,-2.75736037562592e+00
1.62181009735892e+01,-2.45077679501013e+00,-2.82145989478590e+00
1.65958690743755e+01,-2.45133009490296e+00,-2.88704337583064e+00
1.69824365246174e+01,-2.45190938786177e+00,-2.95414473597945e+00
1.73780082874937e+01,-2.45251589090494e+00,-3.02279863641783e+00
1.77827941003892e+01,-2.45315087764001e+00,-3.09304049637093e+00
1.81970085860998e+01,-2.45381568085643e+00,-3.16490650727770e+00
1.86208713666286e+01,-2.45451169523513e+00,-3.23843364705077e+00
1.90546071796324e+01,-2.45524038017489e+00,-3.31365969440933e+00
1.94984459975804e+01,-2.45600326274844e+00,-3.39062324326541e+00
1.99526231496887e+01,-2.45680194078573e+00,-3.46936371714893e+00
2.04173794466952e+01,-2.45763808609002e+00,-3.54992138365185e+00
2.08929613085403e+01,-2.45851344780171e+00,-3.63233736886615e+00
2.13796208950222e+01,-2.45942985590060e+00,-3.71665367179878e+00
2.18776162394954e+01,-2.46038922486509e+00,-3.80291317873272e+00
2.23872113856833e+01,-2.46139355748766e+00,-3.89115967750968e+00
2.29086765276776e+01,-2.46244494885485e+00,-3.98143787170354e+00
2.34422881531991e+01,-2.46354559049911e+00,-4.07379339465157e+00
2.39883291901948e+01,-2.46469777472173e+00,-4.16827282331219e+00
2.45470891568502e+01,-2.46590389910709e+00,-4.26492369190438e+00
2.51188643150957e+01,-2.46716647121966e+00,-4.36379450529573e+00
2.57039578276885e+01,-2.46848811350307e+00,-4.46493475208846e+00
2.63026799189537e+01,-2.46987156838064e+00,-4.56839491735993e+00
2.69153480392690e+01,-2.47131970356648e+00,-4.67422649500538e+00
2.75422870333815e+01,-2.47283551759366e+00,-4.78248199962831e+00
2.81838293126444e+01,-2.47442214557368e+00,-4.89321497791540e+00
2.88403150312659e+01,-2.47608286518072e+00,-5.00648001944034e+00
2.95120922666637e+01,-2.47782110288076e+00,-5.12233276682137e+00
3.01995172040200e+01,-2.47964044040906e+00,-5.24082992516180e+00
3.09029543251358e+01,-2.48154462149815e+00,-5.36202927069872e+00
3.16227766016837e+01,-2.48353755887437e+00,-5.48598965856986e+00
3.23593656929627e+01,-2.48562334151838e+00,-5.61277102961703e+00
3.31131121482590e+01,-2.48780624220767e+00,-5.74243441612417e+00
3.38844156139201e+01,-2.49009072534137e+00,-5.87504194639254e+00
3.46736850452530e+01,-2.49248145505515e+00,-6.01065684804517e+00
3.54813389233574e+01,-2.49498330363637e+00,-6.14934344994242e+00
3.63078054770100e+01,-2.49760136024232e+00,-6.29116718258932e+00
3.71535229097171e+01,-2.50034093992937e+00,-6.43619457690320e+00
3.80189396320559e+01,-2.50320759299835e+00,-6.58449326120419e+00
3.89045144994279e+01,-2.50620711466060e+00,-6.73613195628276e+00
3.98107170553495e+01,-2.50934555503129e+00,-6.89118046838820e+00
4.07380277804111e+01,-2.51262922944983e+00,-7.04970967997751e+00
4.16869383470333e+01,-2.51606472913856e+00,-7.21179153804495e+00
4.26579518801591e+01,-2.51965893218718e+00,-7.37749903986279e+00
4.36515832240164e+01,-2.52341901488417e+00,-7.54690621592341e+00
4.46683592150961e+01,-2.52735246337692e+00,-7.72008810989667e+00
4.57088189614873e+01,-2.53146708567151e+00,-7.89712075537901e+00
