TIME,AMPLITUDE
0.000000000000000e+00,0.000000e+00
8.000000093488779e-07,1.687980e-03
1.600000018697756e-06,3.378554e-03
3.200000037395512e-06,6.766339e-03
6.400000074791024e-06,1.355932e-02
1.128281257479102e-05,2.394551e-02
1.616562507479103e-05,3.433216e-02
2.104843757479103e-05,4.468787e-02
2.593125007479103e-05,5.497711e-02
3.081406257479102e-05,6.516445e-02
3.569687507479102e-05,7.521466e-02
4.057968757479102e-05,8.509290e-02
4.546250007479102e-05,9.476482e-02
5.034531257479102e-05,1.041967e-01
5.522812507479101e-05,1.133556e-01
6.011093757479101e-05,1.222094e-01
6.499375007479101e-05,1.307271e-01
6.987656257479101e-05,1.388788e-01
7.475937507479102e-05,1.466358e-01
7.964218757479102e-05,1.539710e-01
8.452500007479103e-05,1.608584e-01
8.940781257479103e-05,1.672738e-01
9.429062507479103e-05,1.731948e-01
9.917343757479104e-05,1.786005e-01
1.040562500747910e-04,1.834719e-01
1.089390625747910e-04,1.877921e-01
1.138218750747911e-04,1.915460e-01
1.187046875747911e-04,1.947206e-01
1.235875000747910e-04,1.973049e-01
1.284703125747911e-04,1.992902e-01
1.333531250747911e-04,2.006700e-01
1.382359375747911e-04,2.014398e-01
1.431187500747911e-04,2.015975e-01
1.480015625747911e-04,2.011432e-01
1.528843750747911e-04,2.000791e-01
1.577671875747911e-04,1.984099e-01
1.626500000747911e-04,1.961421e-01
1.675328125747911e-04,1.932849e-01
1.724156250747911e-04,1.898493e-01
1.772984375747911e-04,1.858485e-01
1.821812500747911e-04,1.812979e-01
1.870640625747911e-04,1.762148e-01
1.919468750747911e-04,1.706183e-01
1.968296875747911e-04,1.645298e-01
2.017125000747911e-04,1.579722e-01
2.065953125747911e-04,1.509701e-01
2.114781250747911e-04,1.435498e-01
2.163609375747911e-04,1.357393e-01
2.212437500747911e-04,1.275679e-01
2.261265625747911e-04,1.190660e-01
2.310093750747911e-04,1.102655e-01
2.407750000747912e-04,9.190145e-02
2.505406250747911e-04,7.274970e-02
2.603062500747911e-04,5.309568e-02
2.700718750747911e-04,3.323191e-02
2.798375000747912e-04,1.345367e-02
2.847203125747912e-04,3.688573e-03
2.896031250747912e-04,-5.945407e-03
2.944859375747912e-04,-1.541254e-02
2.993687500747912e-04,-2.467776e-02
3.042515625747912e-04,-3.370675e-02
3.091343750747912e-04,-4.246613e-02
3.140171875747912e-04,-5.092353e-02
3.189000000747912e-04,-5.904775e-02
3.237828125747912e-04,-6.680885e-02
3.286656250747912e-04,-7.417826e-02
