TIME,AMPLITUDE
0.000000000000000e+00,3.200449e-14
2.857142890531708e-08,2.326791e-06
5.714285781063416e-08,-5.184581e-05
8.571428671595124e-08,-1.625178e-04
1.142857156212683e-07,-3.296892e-04
1.428571445265854e-07,-5.533599e-04
1.714285734319025e-07,-8.335301e-04
2.000000023372195e-07,-1.170200e-03
4.000000046744390e-07,-4.817101e-03
8.000000093488779e-07,-1.782613e-02
1.600000018697756e-06,-5.904754e-02
3.200000037395512e-06,-1.720149e-01
6.400000074791024e-06,-4.392903e-01
1.172355822546488e-05,-9.140725e-01
1.978626742115205e-05,-1.648110e+00
2.955189242115205e-05,-2.539466e+00
3.931751742115206e-05,-3.418906e+00
4.908314242115206e-05,-4.226618e+00
5.354852590577867e-05,-4.459582e+00
5.778163461012807e-05,-4.520933e+00
6.052226344139092e-05,-4.521413e+00
6.375559990233826e-05,-4.519184e+00
7.022227282423295e-05,-4.514503e+00
7.805545773064760e-05,-4.508563e+00
8.782108273064759e-05,-4.501034e+00
1.073523327306476e-04,-4.485450e+00
1.268835827306476e-04,-4.468979e+00
1.464148327306476e-04,-4.451247e+00
1.561804577306476e-04,-4.441701e+00
1.659460827306476e-04,-4.431568e+00
1.757117077306476e-04,-4.420548e+00
1.854773327306476e-04,-4.408148e+00
1.952429577306476e-04,-4.393559e+00
2.050085827306477e-04,-4.374870e+00
2.147742077306477e-04,-4.346680e+00
2.245398327306477e-04,-4.295688e+00
2.343054577306477e-04,-4.203783e+00
2.440710827306477e-04,-4.057853e+00
2.538367077306477e-04,-3.855122e+00
2.636023327306477e-04,-3.599055e+00
2.733679577306477e-04,-3.294217e+00
2.831335827306477e-04,-2.945664e+00
2.928992077306477e-04,-2.558742e+00
3.026648327306477e-04,-2.139228e+00
3.124304577306478e-04,-1.693247e+00
3.221960827306478e-04,-1.227272e+00
3.319617077306478e-04,-7.480867e-01
3.417273327306478e-04,-2.628568e-01
3.514929577306478e-04,2.209272e-01
3.612585827306478e-04,6.955198e-01
3.710242077306478e-04,1.153055e+00
3.807898327306478e-04,1.585777e+00
3.905554577306478e-04,1.986391e+00
4.003210827306478e-04,2.348541e+00
4.100867077306478e-04,2.667365e+00
4.198523327306478e-04,2.940035e+00
4.296179577306479e-04,3.166126e+00
4.393835827306479e-04,3.347656e+00
4.491492077306479e-04,3.488743e+00
4.589148327306479e-04,3.594930e+00
4.686804577306479e-04,3.672387e+00
4.784460827306479e-04,3.727166e+00
4.882117077306479e-04,3.764687e+00
4.979773327306479e-04,3.789469e+00
5.077429577306479e-04,3.805079e+00
5.175085827306479e-04,3.814214e+00
5.272742077306479e-04,3.818847e+00
5.370398327306479e-04,3.820387e+00
5.468054577306479e-04,3.819819e+00
5.565710827306479e-04,3.817824e+00
5.663367077306479e-04,3.814869e+00
5.761023327306479e-04,3.811268e+00
5.858679577306479e-04,3.807237e+00
5.956335827306480e-04,3.802919e+00
6.053992077306480e-04,3.798414e+00
6.151648327306480e-04,3.793785e+00
6.249304577306480e-04,3.789079e+00
6.346960827306480e-04,3.784325e+00
6.444617077306480e-04,3.779545e+00
6.542273327306480e-04,3.774753e+00
6.737585827306480e-04,3.765168e+00
6.932898327306480e-04,3.755615e+00
7.128210827306481e-04,3.746114e+00
7.323523327306481e-04,3.736670e+00
7.518835827306481e-04,3.727272e+00
7.714148327306481e-04,3.717896e+00
7.811804577306481e-04,3.713202e+00
7.909460827306481e-04,3.708491e+00
8.007117077306481e-04,3.703746e+00
8.104773327306481e-04,3.698943e+00
8.202429577306481e-04,3.694044e+00
8.300085827306482e-04,3.688992e+00
8.397742077306482e-04,3.683692e+00
8.495398327306482e-04,3.677996e+00
8.593054577306482e-04,3.671663e+00
8.690710827306482e-04,3.664293e+00
8.788367077306482e-04,3.655227e+00
8.886023327306482e-04,3.643362e+00
8.983679577306482e-04,3.626851e+00
9.081335827306482e-04,3.602615e+00
9.178992077306482e-04,3.565574e+00
9.276648327306482e-04,3.507558e+00
9.374304577306483e-04,3.416016e+00
9.471960827306483e-04,3.273054e+00
9.569617077306483e-04,3.056016e+00
9.667273327306483e-04,2.741036e+00
9.764929577306483e-04,2.309563e+00
9.862585827306483e-04,1.755153e+00
9.960242077306483e-04,1.086351e+00
1.005789832730648e-03,3.239675e-01
1.015555457730648e-03,-5.048967e-01
1.025321082730648e-03,-1.372443e+00
1.035086707730648e-03,-2.253432e+00
1.044852332730648e-03,-3.126712e+00
1.054617957730648e-03,-3.962041e+00
1.062879759681344e-03,-4.540180e+00
1.066560026277265e-03,-4.655166e+00
1.070521929335064e-03,-4.664051e+00
1.074550800487431e-03,-4.661824e+00
1.078192136156590e-03,-4.659297e+00
1.084024883764183e-03,-4.654688e+00
1.089465985351046e-03,-4.650451e+00
1.097113115959074e-03,-4.644173e+00
1.106197055226171e-03,-4.636726e+00
1.115962680226171e-03,-4.628455e+00
1.135493930226171e-03,-4.611031e+00
