time	V(out)
0.000000000000000e+00	9.594417e-29
2.500000029215244e-08	2.669221e-09
5.000000058430487e-08	-1.578476e-09
8.465301730759886e-08	-5.436238e-08
1.204676399714692e-07	-2.230468e-07
1.568501779876442e-07	-6.000755e-07
1.958241358838465e-07	-1.360922e-06
2.460770451044861e-07	-3.089314e-06
3.127949936458409e-07	-7.053583e-06
4.022646407630296e-07	-1.621695e-05
5.215542359477967e-07	-3.727303e-05
6.820080193074421e-07	-8.379023e-05
8.496519446217596e-07	-1.600647e-04
1.040356114886993e-06	-2.903822e-04
1.259786878991267e-06	-5.088712e-04
1.535312675968761e-06	-9.020278e-04
1.869120559173301e-06	-1.579418e-03
2.288645348821112e-06	-2.782136e-03
2.805453383827210e-06	-4.860580e-03
3.457272764074558e-06	-8.508064e-03
4.273087554454261e-06	-1.480154e-02
5.312036609954080e-06	-2.573405e-02
6.635787403886974e-06	-4.450274e-02
8.348631688957851e-06	-7.675646e-02
1.058125876020078e-05	-1.315745e-01
1.354407893458091e-05	-2.184436e-01
1.755514034288295e-05	-3.262335e-01
2.057820587012384e-05	-3.682725e-01
2.386665480623862e-05	-3.758908e-01
2.700294751150853e-05	-3.753736e-01
2.746414323187872e-05	-3.751307e-01
2.838653467261908e-05	-3.742152e-01
2.861713253280417e-05	-3.740433e-01
2.907832825317435e-05	-3.737507e-01
2.919362718326690e-05	-3.736699e-01
2.942422504345199e-05	-3.734874e-01
2.970605023327755e-05	-3.732277e-01
2.989814695277526e-05	-3.729998e-01
3.011657824520986e-05	-3.726692e-01
3.028353109175042e-05	-3.723688e-01
3.048376325417372e-05	-3.719656e-01
3.071789499403541e-05	-3.714626e-01
3.106010513669501e-05	-3.706985e-01
3.152790036552709e-05	-3.696349e-01
3.222367052348820e-05	-3.680461e-01
3.333753287207769e-05	-3.655151e-01
3.535278804524176e-05	-3.609959e-01
3.938329839156992e-05	-3.521716e-01
4.601087644966747e-05	-3.380951e-01
5.061235569153282e-05	-3.286310e-01
5.349327614427326e-05	-3.228852e-01
5.664247884648169e-05	-3.167441e-01
5.864412445987349e-05	-3.129153e-01
6.147914072902994e-05	-3.076220e-01
6.714917326734283e-05	-2.973529e-01
7.387556764148910e-05	-2.856960e-01
8.364119264148910e-05	-2.697062e-01
9.340681764148909e-05	-2.547141e-01
1.031724426414891e-04	-2.407428e-01
1.129380676414891e-04	-2.277273e-01
1.227036926414891e-04	-2.156067e-01
1.324693176414891e-04	-2.043237e-01
1.422349426414891e-04	-1.938249e-01
1.520005676414891e-04	-1.840599e-01
1.617661926414891e-04	-1.749817e-01
1.715318176414891e-04	-1.665463e-01
1.812974426414891e-04	-1.587120e-01
1.910630676414891e-04	-1.514404e-01
2.008286926414891e-04	-1.446949e-01
2.105943176414892e-04	-1.384415e-01
2.203599426414892e-04	-1.326483e-01
2.301255676414892e-04	-1.272855e-01
2.398911926414892e-04	-1.223249e-01
2.496568176414892e-04	-1.177402e-01
2.594224426414892e-04	-1.135069e-01
2.691880676414892e-04	-1.096020e-01
2.789536926414892e-04	-1.060037e-01
2.887193176414892e-04	-1.026871e-01
2.984849426414892e-04	-9.956624e-02
2.985040161278173e-04	-9.956036e-02
2.985421631004736e-04	-9.954874e-02
2.986184570457861e-04	-9.952523e-02
2.987710449364111e-04	-9.947632e-02
2.990762207176611e-04	-9.937006e-02
2.992479793738118e-04	-9.929383e-02
2.993811575515392e-04	-9.919540e-02
2.995120068953217e-04	-9.904142e-02
2.995827577022401e-04	-9.893483e-02
2.996670455224406e-04	-9.880431e-02
2.997997987739449e-04	-9.861676e-02
2.999231603423962e-04	-9.846102e-02
3.001698834792989e-04	-9.818415e-02
3.006633297531042e-04	-9.767339e-02
3.016502223007148e-04	-9.666248e-02
3.036240073959361e-04	-9.448522e-02
3.075715775863787e-04	-8.938112e-02
3.154667179672638e-04	-7.593627e-02
3.252323429672638e-04	-4.730602e-02
3.349979679672638e-04	1.626415e-02
3.433550654890103e-04	1.323767e-01
3.523865861926141e-04	3.330685e-01
3.601623299777688e-04	5.305129e-01
3.643582000638773e-04	5.999345e-01
3.695924813654315e-04	6.167103e-01
3.736890731506488e-04	6.070828e-01
3.781920346846935e-04	5.938032e-01
3.857117280843537e-04	5.714281e-01
3.954773530843537e-04	5.417837e-01
3.966980562093536e-04	5.380170e-01
3.991394624593537e-04	5.304065e-01
3.997498140218536e-04	5.285490e-01
4.009705171468536e-04	5.248562e-01
4.012756929281036e-04	5.239205e-01
4.018860444906036e-04	5.220034e-01
4.024152930094016e-04	5.202805e-01
4.028743804753572e-04	5.187309e-01
4.033165167350372e-04	5.172094e-01
4.037822723873259e-04	5.155979e-01
4.045065774710098e-04	5.130942e-01
4.055260026197678e-04	5.095882e-01
4.070903947418445e-04	5.042594e-01
4.096246162668812e-04	4.957684e-01
4.140934283477003e-04	4.812416e-01
4.230310525093384e-04	4.534563e-01
4.327966775093384e-04	4.247949e-01
4.425623025093384e-04	3.980043e-01
4.523279275093384e-04	3.730078e-01
4.620935525093384e-04	3.496916e-01
4.718591775093384e-04	3.279490e-01
4.816248025093384e-04	3.076801e-01
4.913904275093384e-04	2.887911e-01
5.011560525093385e-04	2.711940e-01
5.109216775093385e-04	2.548064e-01
5.206873025093385e-04	2.395512e-01
5.304529275093385e-04	2.253558e-01
5.402185525093385e-04	2.121525e-01
5.499841775093385e-04	1.998775e-01
5.597498025093385e-04	1.884712e-01
5.695154275093385e-04	1.778778e-01
5.792810525093385e-04	1.680448e-01
5.890466775093385e-04	1.589231e-01
5.988123025093385e-04	1.504668e-01
6.085779275093385e-04	1.426326e-01
6.183435525093386e-04	1.353801e-01
6.281091775093386e-04	1.286714e-01
6.378748025093386e-04	1.224711e-01
6.476404275093386e-04	1.167459e-01
6.574060525093386e-04	1.114646e-01
6.671716775093386e-04	1.065980e-01
6.769373025093386e-04	1.021187e-01
6.867029275093386e-04	9.800116e-02
6.964685525093386e-04	9.422130e-02
7.062341775093386e-04	9.075664e-02
7.159998025093386e-04	8.758610e-02
7.257654275093387e-04	8.468997e-02
7.355310525093387e-04	8.204973e-02
7.452966775093387e-04	7.964807e-02
7.550623025093387e-04	7.746880e-02
7.648279275093387e-04	7.549672e-02
7.745935525093387e-04	7.371762e-02
7.843591775093387e-04	7.211821e-02
7.941248025093387e-04	7.068601e-02
8.038904275093387e-04	6.940936e-02
8.136560525093387e-04	6.827734e-02
8.234216775093387e-04	6.727976e-02
8.331873025093387e-04	6.640705e-02
8.429529275093388e-04	6.565025e-02
8.527185525093388e-04	6.500100e-02
8.624841775093388e-04	6.445149e-02
8.722498025093388e-04	6.399436e-02
8.820154275093388e-04	6.362280e-02
8.917810525093388e-04	6.333039e-02
9.015466775093388e-04	6.311115e-02
9.113123025093388e-04	6.295948e-02
9.210779275093388e-04	6.287015e-02
9.308435525093388e-04	6.283828e-02
9.406091775093388e-04	6.285930e-02
9.503748025093389e-04	6.292894e-02
9.601404275093389e-04	6.304320e-02
