time	V(out)
0.000000000000000e+00	0.000000e+00
4.571428624850733e-07	8.204361e-06
9.142857249701465e-07	2.969756e-05
1.371428587455220e-06	6.447959e-05
1.828571449940293e-06	1.125504e-04
2.285714312425366e-06	1.739101e-04
2.742857174910440e-06	2.485587e-04
3.200000037395512e-06	3.364960e-04
6.287951360094050e-06	1.163898e-03
1.073667373974396e-05	3.037902e-03
1.744680444039807e-05	7.076124e-03
2.653011657095617e-05	1.412186e-02
3.629574157095618e-05	2.309590e-02
4.606136657095618e-05	3.304872e-02
5.582699157095618e-05	4.357151e-02
6.559261657095617e-05	5.436777e-02
7.535824157095617e-05	6.523483e-02
8.512386657095617e-05	7.602954e-02
9.488949157095616e-05	8.664672e-02
1.046551165709562e-04	9.700561e-02
1.241863665709562e-04	1.166998e-01
1.437176165709562e-04	1.347030e-01
1.632488665709562e-04	1.506985e-01
1.827801165709562e-04	1.644272e-01
2.023113665709562e-04	1.756768e-01
2.218426165709562e-04	1.842786e-01
2.413738665709563e-04	1.901076e-01
2.609051165709563e-04	1.930825e-01
2.804363665709563e-04	1.931645e-01
2.999676165709563e-04	1.903561e-01
3.194988665709563e-04	1.847001e-01
3.390301165709563e-04	1.762782e-01
3.585613665709563e-04	1.652114e-01
3.780926165709564e-04	1.516600e-01
3.976238665709564e-04	1.358220e-01
4.171551165709564e-04	1.179322e-01
4.366863665709564e-04	9.825806e-02
4.562176165709564e-04	7.709570e-02
4.757488665709564e-04	5.476475e-02
4.952801165709564e-04	3.160290e-02
5.148113665709564e-04	7.960450e-03
5.343426165709564e-04	-1.580520e-02
5.538738665709565e-04	-3.933488e-02
5.734051165709565e-04	-6.227300e-02
5.929363665709565e-04	-8.427270e-02
6.124676165709565e-04	-1.050010e-01
6.319988665709565e-04	-1.241437e-01
6.515301165709565e-04	-1.414108e-01
6.710613665709566e-04	-1.565408e-01
6.905926165709566e-04	-1.693060e-01
7.101238665709566e-04	-1.795162e-01
7.296551165709566e-04	-1.870221e-01
7.491863665709566e-04	-1.917170e-01
7.687176165709567e-04	-1.935371e-01
7.882488665709567e-04	-1.924604e-01
