time	V(out)
0.000000000000000e+00	0.000000e+00
6.250000073038109e-09	7.817344e-06
1.250000014607622e-08	2.680321e-05
2.500000029215244e-08	8.297136e-05
5.000000058430487e-08	2.289967e-04
1.000000011686097e-07	5.713536e-04
1.699114494647792e-07	1.120670e-03
3.097343460571181e-07	2.453282e-03
5.893801392417960e-07	6.001302e-03
1.148671725611152e-06	1.645813e-02
2.267254898349864e-06	4.850388e-02
4.076526097652403e-06	1.262960e-01
6.760990691810751e-06	2.902789e-01
1.055350791075071e-05	5.970693e-01
1.584146691966141e-05	1.124813e+00
2.318571284393602e-05	1.969658e+00
3.295133784393602e-05	3.186478e+00
4.271904900650316e-05	4.444287e+00
4.275481179336839e-05	4.448356e+00
4.279295876602464e-05	4.453017e+00
4.286925271133714e-05	4.462278e+00
4.302077359818882e-05	4.479369e+00
4.313657914289381e-05	4.489849e+00
4.322597332974752e-05	4.494838e+00
4.332724539943685e-05	4.497562e+00
4.340092242594133e-05	4.498425e+00
4.350236222210976e-05	4.498903e+00
4.362067595977445e-05	4.499156e+00
4.380194970390760e-05	4.499320e+00
4.407408709604127e-05	4.499422e+00
4.452618172675062e-05	4.499484e+00
4.528717797069967e-05	4.499517e+00
4.675235832658432e-05	4.499533e+00
4.943200683578997e-05	4.499538e+00
5.479130385420128e-05	4.499541e+00
7.432255385420127e-05	4.499545e+00
9.385380385420126e-05	4.499546e+00
1.133850538542012e-04	4.499546e+00
1.329163038542013e-04	4.499547e+00
1.524475538542013e-04	4.499547e+00
1.719788038542013e-04	4.499547e+00
1.915100538542013e-04	4.499547e+00
2.110413038542013e-04	4.499547e+00
2.305725538542013e-04	4.499547e+00
2.501038038542014e-04	4.499547e+00
2.696350538542014e-04	4.499547e+00
2.891663038542014e-04	4.499548e+00
3.086975538542014e-04	4.499548e+00
3.282288038542014e-04	4.499548e+00
3.477600538542014e-04	4.499548e+00
3.672913038542015e-04	4.499548e+00
3.868225538542015e-04	4.499548e+00
4.063538038542015e-04	4.499548e+00
4.258850538542015e-04	4.499548e+00
4.454163038542015e-04	4.499542e+00
4.551819288542015e-04	4.499524e+00
4.607986341936573e-04	4.498973e+00
4.638096002803340e-04	4.461748e+00
4.655003800817112e-04	4.393710e+00
4.665060042900059e-04	4.333153e+00
4.672408571641043e-04	4.282719e+00
4.677619152525034e-04	4.245169e+00
4.685515123468838e-04	4.184391e+00
4.689159285810578e-04	4.155268e+00
4.692614425210904e-04	4.126759e+00
4.696242269383518e-04	4.096354e+00
4.700275265251214e-04	4.061594e+00
4.710386494887587e-04	3.971264e+00
4.726888060464864e-04	3.814006e+00
4.741249677605521e-04	3.668120e+00
4.765773904364639e-04	3.402706e+00
4.811119009669778e-04	2.872931e+00
4.901809220280057e-04	1.737094e+00
4.999465470280057e-04	4.549628e-01
5.097121720280057e-04	-8.587694e-01
5.194777970280057e-04	-2.179408e+00
5.292434220280057e-04	-3.496237e+00
5.304641251530057e-04	-3.660386e+00
5.329055314030057e-04	-3.987370e+00
5.357169926512128e-04	-4.361674e+00
5.364198579632647e-04	-4.454181e+00
5.365300864731489e-04	-4.467480e+00
5.367516286189191e-04	-4.491321e+00
5.367680336734338e-04	-4.492305e+00
5.367855323982494e-04	-4.493242e+00
5.368205298478808e-04	-4.494744e+00
5.368905247471434e-04	-4.496769e+00
5.369684476122662e-04	-4.498008e+00
5.370713318326142e-04	-4.498742e+00
5.371698863825318e-04	-4.499052e+00
5.373230636823833e-04	-4.499253e+00
