time	V(out)
0.000000000000000e+00	0.000000e+00
8.000000093488779e-07	1.609497e-05
1.600000018697756e-06	5.031736e-05
3.200000037395512e-06	1.728021e-04
6.400000074791024e-06	6.048023e-04
1.128281257479102e-05	1.655439e-03
1.616562507479103e-05	3.177081e-03
2.104843757479103e-05	5.201887e-03
2.593125007479103e-05	7.714385e-03
3.081406257479102e-05	1.069743e-02
3.569687507479102e-05	1.413228e-02
4.057968757479102e-05	1.799863e-02
4.546250007479102e-05	2.227473e-02
5.034531257479102e-05	2.693742e-02
5.522812507479101e-05	3.196224e-02
6.011093757479101e-05	3.732351e-02
6.499375007479101e-05	4.299441e-02
6.987656257479101e-05	4.894711e-02
7.475937507479102e-05	5.515283e-02
7.964218757479102e-05	6.158199e-02
8.452500007479103e-05	6.820426e-02
8.940781257479103e-05	7.498874e-02
9.429062507479103e-05	8.190402e-02
9.917343757479104e-05	8.891831e-02
1.040562500747910e-04	9.599956e-02
1.089390625747910e-04	1.031156e-01
1.138218750747911e-04	1.102342e-01
1.187046875747911e-04	1.173233e-01
1.235875000747910e-04	1.243509e-01
1.284703125747911e-04	1.312855e-01
1.333531250747911e-04	1.380959e-01
1.382359375747911e-04	1.447517e-01
1.431187500747911e-04	1.512228e-01
1.480015625747911e-04	1.574802e-01
1.528843750747911e-04	1.634957e-01
1.577671875747911e-04	1.692421e-01
1.626500000747911e-04	1.746931e-01
1.675328125747911e-04	1.798240e-01
1.724156250747911e-04	1.846111e-01
1.772984375747911e-04	1.890320e-01
1.821812500747911e-04	1.930660e-01
1.870640625747911e-04	1.966937e-01
1.919468750747911e-04	1.998976e-01
1.968296875747911e-04	2.026615e-01
2.017125000747911e-04	2.049711e-01
2.065953125747911e-04	2.068140e-01
2.114781250747911e-04	2.081794e-01
2.163609375747911e-04	2.090585e-01
2.212437500747911e-04	2.094444e-01
2.261265625747911e-04	2.093319e-01
2.310093750747911e-04	2.087181e-01
2.407750000747912e-04	2.059836e-01
2.505406250747911e-04	2.012551e-01
2.603062500747911e-04	1.945775e-01
2.700718750747911e-04	1.860261e-01
2.798375000747912e-04	1.757048e-01
2.896031250747912e-04	1.637453e-01
2.993687500747912e-04	1.503045e-01
3.091343750747912e-04	1.355620e-01
3.189000000747912e-04	1.197181e-01
3.286656250747912e-04	1.029901e-01
3.384312500747912e-04	8.560914e-02
3.481968750747912e-04	6.781684e-02
3.579625000747912e-04	4.986157e-02
3.677281250747912e-04	3.199471e-02
3.774937500747912e-04	1.446679e-02
3.823765625747912e-04	5.907086e-03
3.872593750747913e-04	-2.476215e-03
3.921421875747913e-04	-1.065370e-02
3.970250000747913e-04	-1.859668e-02
4.019078125747913e-04	-2.627737e-02
4.067906250747913e-04	-3.366888e-02
4.116734375747913e-04	-4.074544e-02
4.165562500747913e-04	-4.748241e-02
4.214390625747913e-04	-5.385640e-02
4.263218750747913e-04	-5.984537e-02
4.312046875747913e-04	-6.542868e-02
