Freq.	V(out)
1.00000000000000e+00	(-4.67500807160758e+01dB,-2.58610858275727e+00°)
1.02329299228075e+00	(-4.63504696135752e+01dB,-2.64627060247114e+00°)
1.04712854805090e+00	(-4.59508768020217e+01dB,-2.70782853573318e+00°)
1.07151930523761e+00	(-4.55513031398570e+01dB,-2.77081450958029e+00°)
1.09647819614318e+00	(-4.51517495256356e+01dB,-2.83526137177000e+00°)
1.12201845430196e+00	(-4.47522168998814e+01dB,-2.90120270560944e+00°)
1.14815362149688e+00	(-4.43527062470301e+01dB,-2.96867284499152e+00°)
1.17489755493953e+00	(-4.39532185974587e+01dB,-3.03770688963369e+00°)
1.20226443461741e+00	(-4.35537550296072e+01dB,-3.10834072051344e+00°)
1.23026877081238e+00	(-4.31543166721958e+01dB,-3.18061101549441e+00°)
1.25892541179417e+00	(-4.27549047065427e+01dB,-3.25455526513550e+00°)
1.28824955169313e+00	(-4.23555203689855e+01dB,-3.33021178867491e+00°)
1.31825673855641e+00	(-4.19561649534115e+01dB,-3.40761975017965e+00°)
1.34896288259165e+00	(-4.15568398139013e+01dB,-3.48681917485009e+00°)
1.38038426460288e+00	(-4.11575463674904e+01dB,-3.56785096546786e+00°)
1.41253754462275e+00	(-4.07582860970537e+01dB,-3.65075691897416e+00°)
1.44543977074593e+00	(-4.03590605543181e+01dB,-3.73557974316401e+00°)
1.47910838816821e+00	(-3.99598713630090e+01dB,-3.82236307348069e+00°)
1.51356124843621e+00	(-3.95607202221345e+01dB,-3.91115148989276e+00°)
1.54881661891248e+00	(-3.91616089094153e+01dB,-4.00199053383450e+00°)
1.58489319246111e+00	(-3.87625392848643e+01dB,-4.09492672518870e+00°)
1.62181009735893e+00	(-3.83635132945229e+01dB,-4.19000757928877e+00°)
1.65958690743756e+00	(-3.79645329743595e+01dB,-4.28728162391497e+00°)
1.69824365246174e+00	(-3.75656004543375e+01dB,-4.38679841625735e+00°)
1.73780082874937e+00	(-3.71667179626581e+01dB,-4.48860855981563e+00°)
1.77827941003892e+00	(-3.67678878301865e+01dB,-4.59276372120342e+00°)
1.81970085860998e+00	(-3.63691124950661e+01dB,-4.69931664682189e+00°)
1.86208713666287e+00	(-3.59703945075302e+01dB,-4.80832117936446e+00°)
1.90546071796325e+00	(-3.55717365349164e+01dB,-4.91983227411157e+00°)
1.94984459975804e+00	(-3.51731413668928e+01dB,-5.03390601497078e+00°)
1.99526231496888e+00	(-3.47746119209023e+01dB,-5.15059963021418e+00°)
