time	V(out)
0.000000000000000e+00	3.200449e-14
7.142857124823165e-08	-1.382569e-05
1.428571424964633e-07	-5.821524e-05
2.142857137446950e-07	-1.331687e-04
2.857142849929266e-07	-2.386859e-04
3.571428562411582e-07	-3.747671e-04
4.285714274893899e-07	-5.414121e-04
4.999999987376214e-07	-7.386210e-04
9.999999974752427e-07	-2.629914e-03
1.999999994950485e-06	-8.314344e-03
3.999999989900971e-06	-2.294230e-02
7.999999979801942e-06	-5.545626e-02
1.599999995960388e-05	-1.208976e-01
3.199999991920777e-05	-2.456984e-01
6.399999983841553e-05	-4.706216e-01
1.279999996768311e-04	-8.414140e-01
2.256562496768311e-04	-1.260749e+00
3.233124996768311e-04	-1.535202e+00
4.209687496768311e-04	-1.692001e+00
5.186249996768311e-04	-1.768789e+00
6.162812496768311e-04	-1.791584e+00
7.139374996768310e-04	-1.777683e+00
8.115937496768310e-04	-1.738546e+00
9.092499996768310e-04	-1.681519e+00
1.006906249676831e-03	-1.611326e+00
1.104562499676831e-03	-1.531041e+00
1.299874999676831e-03	-1.347774e+00
1.495187499676831e-03	-1.141958e+00
1.690499999676832e-03	-9.196329e-01
1.885812499676832e-03	-6.853354e-01
2.081124999676832e-03	-4.430991e-01
2.276437499676832e-03	-1.967930e-01
2.374093749676832e-03	-7.330219e-02
2.471749999676832e-03	4.978916e-02
2.569406249676832e-03	1.720201e-01
2.667062499676832e-03	2.929376e-01
2.764718749676833e-03	4.120986e-01
2.960031249676833e-03	6.434380e-01
3.155343749676833e-03	8.627605e-01
3.350656249676833e-03	1.067065e+00
3.545968749676833e-03	1.253680e+00
3.741281249676833e-03	1.420306e+00
3.936593749676833e-03	1.565042e+00
4.131906249676832e-03	1.686389e+00
4.327218749676832e-03	1.783231e+00
4.522531249676831e-03	1.854791e+00
4.717843749676830e-03	1.900555e+00
4.913156249676830e-03	1.920190e+00
5.108468749676829e-03	1.913452e+00
5.303781249676828e-03	1.880113e+00
5.499093749676828e-03	1.819939e+00
5.694406249676827e-03	1.732724e+00
5.889718749676826e-03	1.618413e+00
6.085031249676826e-03	1.477296e+00
6.280343749676825e-03	1.310245e+00
6.475656249676824e-03	1.118923e+00
6.670968749676823e-03	9.059055e-01
6.768624999676823e-03	7.923117e-01
6.866281249676823e-03	6.746548e-01
6.963937499676822e-03	5.534799e-01
7.061593749676822e-03	4.293624e-01
7.159249999676822e-03	3.028986e-01
7.256906249676821e-03	1.746977e-01
7.354562499676821e-03	4.537375e-02
7.549874999676820e-03	-2.142025e-01
7.745187499676820e-03	-4.710505e-01
7.940499999676819e-03	-7.206326e-01
8.135812499676818e-03	-9.587263e-01
8.331124999676818e-03	-1.181463e+00
8.526437499676817e-03	-1.385347e+00
8.721749999676816e-03	-1.567272e+00
8.917062499676815e-03	-1.724538e+00
9.112374999676815e-03	-1.854867e+00
9.307687499676814e-03	-1.956423e+00
9.502999999676813e-03	-2.027825e+00
9.698312499676813e-03	-2.068162e+00
9.893624999676812e-03	-2.077004e+00
1.008893749967681e-02	-2.054400e+00
1.028424999967681e-02	-2.000878e+00
1.047956249967681e-02	-1.917435e+00
1.067487499967681e-02	-1.805518e+00
1.087018749967681e-02	-1.667003e+00
1.106549999967681e-02	-1.504164e+00
1.126081249967681e-02	-1.319636e+00
1.145612499967681e-02	-1.116374e+00
1.165143749967681e-02	-8.976011e-01
1.184674999967681e-02	-6.667609e-01
1.204206249967680e-02	-4.274553e-01
1.223737499967680e-02	-1.833851e-01
1.243268749967680e-02	6.171511e-02
1.253034374967680e-02	1.834916e-01
1.262799999967680e-02	3.041437e-01
1.282331249967680e-02	5.402997e-01
1.301862499967680e-02	7.667503e-01
1.321393749967680e-02	9.802955e-01
1.340924999967680e-02	1.178028e+00
1.360456249967680e-02	1.357384e+00
1.379987499967680e-02	1.516182e+00
1.399518749967680e-02	1.652641e+00
1.419049999967680e-02	1.765381e+00
1.438581249967680e-02	1.853393e+00
1.458112499967680e-02	1.915989e+00
1.477643749967679e-02	1.952717e+00
1.497174999967679e-02	1.963281e+00
1.516706249967679e-02	1.947445e+00
1.536237499967679e-02	1.904978e+00
1.555768749967679e-02	1.835645e+00
1.575299999967679e-02	1.739263e+00
1.594831249967680e-02	1.615853e+00
1.614362499967680e-02	1.465850e+00
1.633893749967680e-02	1.290339e+00
1.653424999967680e-02	1.091249e+00
1.672956249967681e-02	8.714283e-01
1.692487499967681e-02	6.345806e-01
1.702253124967681e-02	5.111172e-01
1.712018749967681e-02	3.850715e-01
1.721784374967681e-02	2.570488e-01
1.731549999967682e-02	1.276625e-01
1.741315624967682e-02	-2.473712e-03
1.760846874967682e-02	-2.625726e-01
1.780378124967682e-02	-5.185288e-01
1.799909374967682e-02	-7.658933e-01
1.819440624967683e-02	-1.000547e+00
1.838971874967683e-02	-1.218732e+00
1.858503124967683e-02	-1.417068e+00
1.878034374967684e-02	-1.592570e+00
1.897565624967684e-02	-1.742664e+00
1.917096874967684e-02	-1.865203e+00
1.936628124967684e-02	-1.958486e+00
1.956159374967685e-02	-2.021274e+00
1.975690624967685e-02	-2.052799e+00
1.995221874967685e-02	-2.052776e+00
2.014753124967686e-02	-2.021399e+00
2.034284374967686e-02	-1.959337e+00
2.053815624967686e-02	-1.867727e+00
2.073346874967686e-02	-1.748146e+00
2.092878124967687e-02	-1.602595e+00
2.112409374967687e-02	-1.433460e+00
2.131940624967687e-02	-1.243477e+00
2.151471874967687e-02	-1.035686e+00
2.171003124967688e-02	-8.133855e-01
2.190534374967688e-02	-5.800709e-01
2.210065624967688e-02	-3.393814e-01
2.229596874967689e-02	-9.503515e-02
2.239362499967689e-02	2.734168e-02
2.249128124967689e-02	1.492357e-01
2.258893749967689e-02	2.701893e-01
2.278424999967689e-02	5.074844e-01
2.297956249967690e-02	7.357550e-01
2.317487499967690e-02	9.517494e-01
2.337018749967690e-02	1.152497e+00
2.356549999967690e-02	1.335362e+00
2.376081249967691e-02	1.498083e+00
2.395612499967691e-02	1.638799e+00
2.415143749967691e-02	1.756051e+00
2.434674999967692e-02	1.848761e+00
2.454206249967692e-02	1.916180e+00
2.473737499967692e-02	1.957817e+00
2.493268749967692e-02	1.973351e+00
2.512799999967693e-02	1.962540e+00
2.532331249967693e-02	1.925156e+00
2.551862499967693e-02	1.860960e+00
2.571393749967693e-02	1.769750e+00
2.590924999967694e-02	1.651488e+00
2.610456249967694e-02	1.506507e+00
2.629987499967694e-02	1.335745e+00
2.649518749967695e-02	1.140947e+00
2.669049999967695e-02	9.247795e-01
2.688581249967695e-02	6.907877e-01
2.708112499967695e-02	4.432246e-01
2.717878124967696e-02	3.158140e-01
2.727643749967696e-02	1.867952e-01
2.737409374967696e-02	5.678255e-02
2.756940624967696e-02	-2.037876e-01
2.776471874967696e-02	-4.611345e-01
2.796003124967697e-02	-7.107488e-01
2.815534374967697e-02	-9.484425e-01
2.835065624967697e-02	-1.170383e+00
2.854596874967697e-02	-1.373115e+00
2.874128124967698e-02	-1.553573e+00
2.893659374967698e-02	-1.709098e+00
2.913190624967698e-02	-1.837458e+00
2.932721874967699e-02	-1.936861e+00
2.952253124967699e-02	-2.005975e+00
2.971784374967699e-02	-2.043937e+00
2.991315624967699e-02	-2.050365e+00
3.010846874967700e-02	-2.025358e+00
3.030378124967700e-02	-1.969491e+00
3.049909374967700e-02	-1.883808e+00
3.069440624967701e-02	-1.769802e+00
3.088971874967701e-02	-1.629388e+00
